aku,pron,ganti
ancoa,pron,tanya
anda,pron,ganti
andika,pron,ganti
anta,pron,ganti
apa,pron,tanya
apabila,pron,tanya
apakah,pron,tanya
apakala,pron,tanya
apatah,pron,tanya
ape,pron,tanya
awat,pron,tanya
bagaimana,pron,tanya
begini,pron,tunjuk
begitu,pron,tunjuk
beliau,pron,tunjuk
berapa,pron,tanya
beta,pron,ganti
betapa,pron,tanya
bila,pron,tanya
bilamana,pron,tanya
bilamasa,pron,tanya
bukan,pron,tanya
daku,pron,ganti
dalem,pron,ganti
dari mana,pron,tanya
dari sana,pron,tunjuk
dari sini,pron,tunjuk
dari situ,pron,tunjuk
demikian,pron,tunjuk
den,pron,ganti
di sana,pron,tunjuk
di situ,pron,tunjuk
dikau,pron,ganti
dorang,pron,ganti
engkau,pron,ganti
gua,pron,ganti
gue,pron,ganti
ia,pron,ganti
ini,pron,tunjuk
itu,pron,tunjuk
jeng,pron,ganti
kalian,pron,ganti
kami,pron,ganti
kamu,pron,ganti
kapan,pron,tanya
kau,pron,ganti
kenapa,pron,tanya
kita,pron,ganti
kitorang,pron,
koe,pron,ganti
lu,pron,ganti
mana,pron,tanya
manakan,pron,ganti
masing-masing,pron,
mereka,pron,ganti
mika,pron,ganti
pakanira,pron,ganti
sahaya,pron,ganti
sampean,pron,ganti
sana,pron,tunjuk
saya,pron,ganti
sian,pron,tunjuk
siapa,pron,tanya
sini,pron,tunjuk
sira,pron,ganti
situ,pron,tunjuk
sono,pron,tunjuk
tah,pron,tanya
yang,pron,ganti
