alau,n,
albanat,n,
alik,v,
alobar,n,
anggerka,n,
antari,n,
arabika,n,
baharu,a,
balau,a,
bandan,v,
bangun-bangun,n,
bara,v,
barzakh,n,
bedaru,n,
bedukang,n,
belantik,n,
beling,n,
beluhan,n,
beranang,n,
berangai,n,
berangga,n,
beroya,n,
beru,n,
biawan,n,
bolang-baling,n,
botor,n,
brana,n,
brisan,n,
bulan,n,
buraksa,n,
butun,n,
campang,a,
candang,a,
celas,a,
cemek,a,
cobak-cabik,a,
compreng,compreng,com-preng /compréng/ lihat perahu
congklak,congklak,cong-klak lihat 2congkak
derawa,derawa,de-ra-wa lihat gula
dortrap,dortrap,dor-trap lihat sepeda
dowel,dowel,do-wel /dowél/ lihat kayu
elektromotif,elektromotif,elek-tro-mo-tif /éléktromotif/ lihat tenaga
fortin,fortin,for-tin lihat barometer
gamma,gamma,gam-ma lihat gama
ganang,ganang,ga-nang lihat gunung
ganjing,ganjing,gan-jing lihat gonjang
ganjling,ganjling,gan-jling lihat gonjlang
garis,garis [2],ga-ris^[2] lihat pitis
gegak gempita,gegak gempita,ge-gak gem-pi-ta lihat 1gegap
gendang,gendang [3],gen-dang^[3] lihat gendis
gentala,gentala [2],gen-ta-la^[2] lihat naga
gerik,gerik,ge-rik lihat gerak
geriuk,geriuk,ge-ri-uk lihat geriak
gujirat,gujirat,gu-ji-rat lihat gunjing
guntai,guntai,gun-tai lihat tanah
harawan,harawan,ha-ra-wan lihat 3tunggang
insektivora,insektivora,in-sek-ti-vo-ra /inséktivora/ lihat insektivor
jaksi,jaksi,jak-si lihat topi
janggi,janggi [2],jang-gi^[2] lihat pauh
jangking,jangking,jang-king lihat 1jongkang
jarem,jarem [2],ja-rem^[2] lihat rumput
jeluntung,jeluntung,je-lun-tung lihat cacar
juandang,juandang,ju-an-dang lihat bujang
kala,kala [3],ka-la^[3] lihat bintang
kayun,kayun [1],ka-yun^[1] lihat putar
kecundang,kecundang [1],ke-cun-dang^[1] lihat 1cundang
kedongkok,kedongkok,ke-dong-kok lihat dongkok
kelebuk,kelebuk,ke-le-buk lihat ara
kerongkongan,kerongkongan,ke-rong-kong-an lihat rongkong
kerontang,kerontang,ke-ron-tang lihat kering
kifayah,kifayah,ki-fa-yah lihat fardu
kiran,kiran,ki-ran lihat haji
kotok,kotok [1],ko-tok^[1] lihat jawer
kromong,kromong,kromong lihat gambang
kubra,kubra [2],kub-ra^[2] lihat kiamat
lawang,lawang [5],la-wang^[5] lihat tapak
lela,lela [2],le-la^[2] /léla/ lihat rajalela
lenggak-lenggok,lenggak-lenggok,leng-gak-leng-gok /lénggak-lénggok/ lihat lenggok
lintir,lintir [2],lin-tir^[2] lihat pelintir
lisani,lisani,li-sa-ni lihat huruf
lum,lum,lum lihat 1masak
lupi,lupi,lu-pi lihat papan
macakal,macakal,ma-ca-kal lihat gending
mahsul,mahsul,mah-sul lihat hasil
mai,mai,mai lihat puki
majuj,majuj,ma-juj lihat yakjuj
manda,manda [3],man-da^[3] lihat mandi
mangkih,mangkih,mang-kih lihat 2cangkih
mangsi,mangsi [2],mang-si^[2] lihat ikan
manila,manila [1],ma-ni-la^[1] lihat itik
manila,manila [2],ma-ni-la^[2] lihat bunga
manila,manila [5],ma-ni-la^[5] lihat serat
manyala,manyala,ma-nya-la lihat nyala
marfuk,marfuk,mar-fuk lihat hadis
mari,mari [2],ma-ri^[2] lihat roti
marut,marut,ma-rut lihat 1carut
masai,masai,ma-sai lihat kusut
masyuk,masyuk,ma-syuk lihat asyik
matur,matur,ma-tur lihat paduka
maupun,maupun,ma-u-pun lihat mau
mawin,mawin,ma-win lihat kawin
mayur,mayur,ma-yur lihat sayur
melainkan,melainkan,me-la-in-kan lihat lain
melintir,melintir,me-lin-tir lihat pelintir
melompong,melompong,me-lom-pong lihat kosong
melotot,melotot,me-lo-tot lihat pelotot
memelas,memelas,me-me-las lihat melas
mempelas,mempelas,mem-pe-las lihat akar
mendeng,mendeng,men-deng /méndéng/ lihat sendeng
mengirap,mengirap,me-ngi-rap lihat kirap
menong,menong [1],me-nong^[1] /ménong/ lihat gajah
merasi,merasi,me-ra-si lihat raras
meriah,meriah,me-ri-ah lihat riah
mering,mering,me-ring lihat kurus
meringis,meringis,me-ri-ngis lihat ringis
merta,merta,mer-ta lihat serta
meruap,meruap,me-ru-ap lihat ruap
merut,merut,me-rut lihat kerut
mesut,mesut,me-sut lihat kusut
miap,miap,mi-ap lihat tiap
mina,mina [1],mi-na^[1] lihat burung
mipis,mipis,mi-pis lihat tipis
miris,miris [1],mi-ris^[1] lihat tiris
molotov,molotov,mo-lo-tov lihat bom
moreng,moreng,mo-reng /moréng/ lihat coreng
mutmainah,mutmainah,mut-ma-i-nah lihat nafsu
non,non [3],non^[3] lihat kaum
nukleat,nukleat,nuk-le-at /nukléat/ lihat asam
once,once,on-ce /oncé/ lihat cangklong
ose,ose,ose /osé/ lihat kacang
padam,padam [2],pa-dam^[2] lihat merah
palolo,palolo,pa-lo-lo lihat cacing
pasi,pasi,pa-si lihat pucat
pauk,pauk [1],pa-uk^[1] lihat lauk
pecundang,pecundang,pe-cun-dang lihat 1cundang
peguam,peguam,pe-gu-am lihat 1guam
pekasih,pekasih,pe-ka-sih lihat 1kasih
pekuk,pekuk [3],pe-kuk^[3] lihat pekik
pelamin,pelamin,pe-la-min lihat 1lamin
pendongkok,pendongkok,pen-dong-kok lihat dongkok
penomah,penomah,pe-no-mah lihat raja
perabung,perabung,pe-ra-bung lihat 2rabung
perambut,perambut,pe-ram-but lihat rambut
pernak,pernak,per-nak lihat pernik
perompak,perompak,pe-rom-pak lihat 1rompak
perponding,perponding,per-pon-ding lihat tanah
pertepel,pertepel,per-te-pel lihat portofolio
petantang-petenteng,petantang-petenteng,pe-tan-tang-pe-ten-teng /petantang-peténténg/ lihat petenteng
petilasan,petilasan,pe-ti-las-an lihat tilas
petinggi,petinggi,pe-ting-gi lihat tinggi
petola,petola [1],pe-to-la^[1] lihat kain
peturun,peturun,pe-tu-run lihat harimau
pinis,pinis [2],pi-nis^[2] lihat tempinis
qudsi,qudsi,qudsi lihat hadis
randah,randah,ran-dah lihat pindah
remiak,remiak,re-mi-ak lihat 1riak
rempuk,rempuk,rem-puk lihat rembuk
rempus,rempus,rem-pus lihat rampus
reramuan,reramuan,re-ra-mu-an lihat ramu
rerangka,rerangka,re-rang-ka lihat rangka
reranting,reranting,re-ran-ting lihat ranting
rerongkong,rerongkong,re-rong-kong lihat rongkong
roi,roi,roi lihat 1garis
rok,rok [2],rok^[2] lihat musik
roma,roma [1],ro-ma^[1] lihat bulu
roman,roman [4],ro-man^[4] lihat huruf
